"season","game_id","team","player_id","period","shifts","first","last","position","datetime"
2016,20050,"wpg",8477940,4,"151-160;94-107","Nikolaj","Ehlers","r","2016-10-20 00:00:00+00"
2016,20050,"wpg",8478398,1,"227-268;857-900;343-392;630-680;510-561;1114-1178;101-183","Kyle","Connor","l","2016-10-20 00:00:00+00"
2016,20050,"wpg",8478398,2,"542-584;415-472;1141-1200;135-198;669-734;943-1012","Kyle","Connor","l","2016-10-20 00:00:00+00"
2016,20050,"wpg",8478398,3,"541-570;88-121;247-288;957-1034","Kyle","Connor","l","2016-10-20 00:00:00+00"
2016,20050,"wpg",8479293,1,"969-972;771-815;268-313;463-510;1039-1099;0-80","Brandon","Tanev","l","2016-10-20 00:00:00+00"
2016,20050,"wpg",8479293,2,"205-209;407-415;1059-1094;514-555;0-48;734-783","Brandon","Tanev","l","2016-10-20 00:00:00+00"
2016,20050,"wpg",8479293,3,"0-20;88-121;524-564;247-288;1145-1200;957-1024","Brandon","Tanev","l","2016-10-20 00:00:00+00"
2016,20050,"wpg",8479339,1,"761-771;392-406;680-721;815-857;561-607;972-1051;31-183","Patrik","Laine","r","2016-10-20 00:00:00+00"
2016,20050,"wpg",8479339,2,"584-605;708-743;472-514;48-92;1094-1141;209-279;846-943","Patrik","Laine","r","2016-10-20 00:00:00+00"
2016,20050,"wpg",8479339,3,"354-365;780-797;1034-1053;1125-1145;55-88;424-469;191-245;628-693;846-925;1145-1145;60-60","Patrik","Laine","r","2016-10-20 00:00:00+00"
2016,20050,"wpg",8479339,4,"146-160;63-94;160-160","Patrik","Laine","r","2016-10-20 00:00:00+00"
2016,20057,"min",8469459,1,"714-731;0-19;665-695;357-403;875-924;1028-1084;551-611;1138-1200;160-232","Mikko","Koivu","c","2016-10-21 00:00:00+00"
2016,20057,"min",8469459,2,"1081-1083;821-850;0-32;328-365;553-591;105-165;1111-1181;680-773","Mikko","Koivu","c","2016-10-21 00:00:00+00"
2016,20057,"min",8469459,3,"531-543;906-934;0-41;596-645;748-806;321-381;1003-1071;1125-1200;147-226","Mikko","Koivu","c","2016-10-21 00:00:00+00"
2016,20057,"min",8469506,1,"64-67;86-94;762-812;277-328;1084-1138;913-970;455-514","Jason","Pominville","r","2016-10-21 00:00:00+00"
2016,20057,"min",8469506,2,"896-908;773-800;162-215;365-423;483-553;1013-1083","Jason","Pominville","r","2016-10-21 00:00:00+00"
2016,20057,"min",8469506,3,"879-906;713-748;260-300;658-698;85-128;958-1003;1094-1145;422-480","Jason","Pominville","r","2016-10-21 00:00:00+00"
2016,20057,"min",8470595,1,"836-875;232-273;403-444;19-64;611-665;970-1028;695-762","Eric","Staal","c","2016-10-21 00:00:00+00"
2016,20057,"min",8470595,2,"1181-1200;800-821;850-879;448-483;591-626;32-105;255-328;928-1005;609-609","Eric","Staal","c","2016-10-21 00:00:00+00"
2016,20057,"min",8470595,3,"698-713;934-958;843-874;774-806;226-260;381-422;41-85;543-596;1071-1125;1145-1200;713-713","Eric","Staal","c","2016-10-21 00:00:00+00"
2016,20057,"min",8470610,1,"67-71;695-714;731-762;242-277;836-875;413-455;19-64;970-1028;605-665","Zach","Parise","l","2016-10-21 00:00:00+00"
2016,20057,"min",8470610,2,"1181-1200;800-821;448-483;591-626;850-896;260-328;32-103;928-1005","Zach","Parise","l","2016-10-21 00:00:00+00"
2016,20057,"min",8470610,3,"698-713;934-958;843-881;213-256;41-85;381-433;543-596;1071-1125;1145-1200","Zach","Parise","l","2016-10-21 00:00:00+00"
2016,20057,"min",8473485,1,"0-19;875-913;357-403;551-605;1138-1200;160-242","Chris","Stewart","r","2016-10-21 00:00:00+00"
2016,20057,"min",8473485,2,"0-32;328-365;553-591;215-262;1104-1181;680-773","Chris","Stewart","r","2016-10-21 00:00:00+00"
2016,20057,"min",8473485,3,"525-543;748-774;806-835;0-41;321-381;596-658;147-226","Chris","Stewart","r","2016-10-21 00:00:00+00"
2016,20057,"min",8474610,1,"812-836;324-357;514-551;97-160","Zac","Dalpe","c","2016-10-21 00:00:00+00"
2016,20057,"min",8474610,2,"423-448;1083-1111;215-255;626-680","Zac","Dalpe","c","2016-10-21 00:00:00+00"
2016,20057,"min",8474610,3,"128-147;300-321;874-906;806-843;480-531;147-147","Zac","Dalpe","c","2016-10-21 00:00:00+00"
2016,20057,"min",8475287,1,"64-97;924-970;762-812;273-324;1084-1138;444-514","Erik","Haula","c","2016-10-21 00:00:00+00"
2016,20057,"min",8475287,2,"773-800;879-908;165-215;365-423;483-553;1005-1081","Erik","Haula","c","2016-10-21 00:00:00+00"
2016,20057,"min",8475287,3,"881-906;713-748;260-300;85-128;958-1003;645-698;422-480","Erik","Haula","c","2016-10-21 00:00:00+00"
2016,20057,"min",8475722,1,"812-836;328-357;521-551;98-160;1138-1200","Jason","Zucker","l","2016-10-21 00:00:00+00"
2016,20057,"min",8475722,2,"908-928;423-448;1083-1111;215-260;626-680","Jason","Zucker","l","2016-10-21 00:00:00+00"
2016,20057,"min",8475722,3,"713-748;85-128;256-300;648-698;433-486","Jason","Zucker","l","2016-10-21 00:00:00+00"
2016,20057,"min",8475745,1,"67-86;242-277;836-875;19-64;403-455;970-1028;605-665","Charlie","Coyle","c","2016-10-21 00:00:00+00"
