"season","game_id","team","period","strength_sit","timeranges"
2016,20633,"nyr",2,"ev5","0-52;172-391;511-563;683-1190"
2016,20633,"nyr",2,"pp","52-172;563-683;1190-1200"
2016,20633,"nyr",2,"sh","391-511"
2016,20633,"nyr",3,"ev5","110-788;800-953;1073-1155;1171-1200"
2016,20633,"nyr",3,"pp","0-110;953-1073"
2016,20633,"nyr",3,"sh","788-800"
2016,20643,"ott",1,"ev5","0-334;386-1200"
2016,20643,"ott",1,"sh","334-386"
2016,20643,"ott",2,"ev5","0-1200"
2016,20643,"ott",3,"ev5","0-241;361-690;810-1097"
2016,20643,"ott",3,"pp","241-361"
2016,20665,"buf",1,"ev5","0-1200"
2016,20665,"buf",2,"ev5","0-105;225-1200"
2016,20665,"buf",2,"pp","105-225"
2016,20665,"buf",3,"ev5","0-768;784-1111"
2016,20665,"buf",3,"sh","768-784"
2016,20679,"nyr",1,"ev5","0-262;382-988;1108-1200"
2016,20679,"nyr",1,"pp","262-382"
2016,20679,"nyr",1,"sh","988-1108"
2016,20679,"nyr",2,"ev5","0-681;801-852;972-1200"
2016,20679,"nyr",2,"pp","681-801;852-972"
2016,20679,"nyr",3,"ev5","0-252;372-832;952-998;1023-1164"
2016,20679,"nyr",3,"pp","252-372"
2016,20679,"nyr",3,"sh","832-952"
2016,20693,"ott",1,"ev5","0-336;456-624;744-848;968-1109"
2016,20693,"ott",1,"pp","336-456;624-744;1109-1200"
2016,20693,"ott",1,"sh","848-968"
2016,20693,"ott",2,"ev5","29-362;451-868;1108-1200"
2016,20693,"ott",2,"pp","0-29"
2016,20693,"ott",2,"sh","362-451;868-1108"
2016,20693,"ott",3,"ev5","0-1033;1129-1200"
2016,20693,"ott",3,"pp","1033-1114"
2016,20710,"cgy",1,"ev5","0-296;416-617;746-1200"
2016,20710,"cgy",1,"pp","626-746"
2016,20710,"cgy",1,"sh","296-416"
2016,20710,"cgy",2,"ev5","0-95;322-677;797-981;1105-1200"
2016,20710,"cgy",2,"pp","215-322;677-797;985-1105"
2016,20710,"cgy",2,"sh","95-205"
2016,20710,"cgy",3,"ev5","0-93;141-284;404-1120"
2016,20710,"cgy",3,"pp","1120-1200"
2016,20710,"cgy",3,"sh","93-141;284-404"
2016,20724,"det",1,"ev5","0-673;793-1183"
2016,20724,"det",1,"pp","673-793"
2016,20724,"det",1,"sh","1183-1200"
2016,20724,"det",2,"ev5","108-373;488-1200"
2016,20724,"det",2,"pp","373-488"
2016,20724,"det",2,"sh","0-108"
2016,20724,"det",3,"ev5","0-302;422-1200"
2016,20724,"det",3,"sh","302-422"
2016,20731,"phi",1,"ev5","0-432;672-1083"
2016,20731,"phi",1,"sh","432-672;1083-1200"
2016,20731,"phi",2,"ev5","3-668;788-1200"
2016,20731,"phi",2,"pp","668-788"
2016,20731,"phi",2,"sh","0-3"
2016,20731,"phi",3,"ev5","0-1065;1136-1172"
2016,20750,"dal",1,"ev5","0-395;518-755;830-1052;1102-1200"
2016,20750,"dal",1,"pp","1052-1102"
2016,20750,"dal",1,"sh","398-518;783-830"
2016,20750,"dal",2,"ev5","0-1200"
