"season","date","gameId","team","iceSit","playerId","position","period","periodType","start","end"
20152016,20160531,30411,"sjs","away",8474053,"c",2,"regular",283,331
20152016,20160531,30411,"pit","home",8477839,"lw",3,"regular",371,419
20152016,20160531,30411,"pit","home",8474602,"d",3,"regular",371,419
20152016,20160531,30411,"pit","home",8474009,"c",3,"regular",371,419
20152016,20160531,30411,"sjs","away",8474027,"d",3,"regular",371,419
20152016,20160531,30411,"sjs","away",8471709,"d",3,"regular",371,419
20152016,20160531,30411,"sjs","away",8476919,"c",3,"regular",502,550
20152016,20160531,30411,"sjs","away",8468208,"rw",3,"regular",502,550
20152016,20160531,30411,"pit","home",8475208,"d",2,"regular",777,825
20152016,20160531,30411,"sjs","away",8470613,"d",2,"regular",936,984
20152016,20160531,30411,"sjs","away",8468542,"d",2,"regular",936,984
20152016,20160531,30411,"pit","home",8474013,"d",2,"regular",1019,1067
20152016,20160531,30411,"pit","home",8474602,"d",2,"regular",1019,1067
20152016,20160531,30411,"pit","home",8471675,"c",1,"regular",0,49
20152016,20160531,30411,"sjs","away",8471709,"d",1,"regular",9,58
20152016,20160531,30411,"sjs","away",8466139,"lw",3,"regular",117,166
20152016,20160531,30411,"sjs","away",8474027,"d",3,"regular",149,198
20152016,20160531,30411,"pit","home",8471215,"c",1,"regular",178,227
20152016,20160531,30411,"sjs","away",8470613,"d",3,"regular",198,247
20152016,20160531,30411,"sjs","away",8464977,"c",3,"regular",198,247
20152016,20160531,30411,"sjs","away",8468542,"d",3,"regular",198,247
20152016,20160531,30411,"pit","home",8471724,"d",3,"regular",208,257
20152016,20160531,30411,"pit","home",8474176,"lw",1,"regular",209,258
20152016,20160531,30411,"sjs","away",8475455,"d",1,"regular",258,307
20152016,20160531,30411,"pit","home",8475208,"d",2,"regular",970,1019
20152016,20160531,30411,"sjs","away",8477922,"c",2,"regular",1010,1059
20152016,20160531,30411,"pit","home",8474176,"lw",1,"regular",1151,1200
20152016,20160531,30411,"pit","home",8474009,"c",1,"regular",1151,1200
20152016,20160531,30411,"pit","home",8473548,"rw",1,"regular",1151,1200
20152016,20160531,30411,"sjs","away",8474096,"c",3,"regular",18,68
20152016,20160531,30411,"sjs","away",8475820,"rw",3,"regular",114,164
20152016,20160531,30411,"pit","home",8477839,"lw",1,"regular",128,178
20152016,20160531,30411,"pit","home",8475208,"d",1,"regular",239,289
20152016,20160531,30411,"sjs","away",8475820,"rw",2,"regular",283,333
20152016,20160531,30411,"pit","home",8477839,"lw",2,"regular",515,565
20152016,20160531,30411,"pit","home",8471675,"c",2,"regular",515,565
20152016,20160531,30411,"sjs","away",8470794,"c",3,"regular",550,600
20152016,20160531,30411,"sjs","away",8466138,"c",3,"regular",550,600
20152016,20160531,30411,"pit","home",8474176,"lw",2,"regular",600,650
20152016,20160531,30411,"pit","home",8474009,"c",2,"regular",600,650
20152016,20160531,30411,"sjs","away",8468542,"d",3,"regular",862,912
20152016,20160531,30411,"sjs","away",8475455,"d",2,"regular",886,936
20152016,20160531,30411,"sjs","away",8471392,"d",2,"regular",886,936
20152016,20160531,30411,"sjs","away",8475455,"d",3,"regular",954,1004
20152016,20160531,30411,"sjs","away",8471392,"d",3,"regular",954,1004
20152016,20160531,30411,"sjs","away",8468542,"d",1,"regular",177,228
20152016,20160531,30411,"pit","home",8474009,"c",2,"regular",282,333
20152016,20160531,30411,"sjs","away",8475820,"rw",2,"regular",917,968
20152016,20160531,30411,"pit","home",8471675,"c",1,"regular",931,982
20152016,20160531,30411,"sjs","away",8474096,"c",1,"regular",1119,1170
20152016,20160531,30411,"pit","home",8473933,"d",3,"regular",81,133
20152016,20160531,30411,"sjs","away",8474053,"c",3,"regular",114,166
20152016,20160531,30411,"pit","home",8477839,"lw",3,"regular",202,254
20152016,20160531,30411,"sjs","away",8471709,"d",2,"regular",277,329
20152016,20160531,30411,"pit","home",8475208,"d",2,"regular",345,397
20152016,20160531,30411,"pit","home",8474013,"d",2,"regular",408,460
20152016,20160531,30411,"pit","home",8474602,"d",2,"regular",408,460
20152016,20160531,30411,"pit","home",8475208,"d",2,"regular",477,529
20152016,20160531,30411,"pit","home",8471724,"d",2,"regular",477,529
20152016,20160531,30411,"sjs","away",8470794,"c",2,"regular",477,529
20152016,20160531,30411,"sjs","away",8466138,"c",2,"regular",477,529
20152016,20160531,30411,"sjs","away",8476881,"c",2,"regular",477,529
20152016,20160531,30411,"sjs","away",8475455,"d",1,"regular",482,534
20152016,20160531,30411,"sjs","away",8471709,"d",1,"regular",482,534
20152016,20160531,30411,"sjs","away",8474739,"c",3,"regular",664,716
20152016,20160531,30411,"pit","home",8474009,"c",2,"regular",777,829
20152016,20160531,30411,"sjs","away",8466139,"lw",1,"regular",885,937
20152016,20160531,30411,"pit","home",8471675,"c",1,"regular",1095,1147
20152016,20160531,30411,"sjs","away",8470794,"c",2,"regular",74,127
20152016,20160531,30411,"sjs","away",8466138,"c",2,"regular",74,127
20152016,20160531,30411,"sjs","away",8474053,"c",2,"regular",74,127
20152016,20160531,30411,"sjs","away",8466139,"lw",2,"regular",74,127
20152016,20160531,30411,"pit","home",8475810,"rw",3,"regular",115,168
20152016,20160531,30411,"pit","home",8470543,"lw",3,"regular",115,168
20152016,20160531,30411,"pit","home",8471215,"c",3,"regular",115,168
20152016,20160531,30411,"pit","home",8471675,"c",2,"regular",333,386
20152016,20160531,30411,"sjs","away",8475455,"d",3,"regular",449,502
20152016,20160531,30411,"sjs","away",8475820,"rw",3,"regular",449,502
20152016,20160531,30411,"sjs","away",8474053,"c",3,"regular",449,502
20152016,20160531,30411,"sjs","away",8471392,"d",3,"regular",449,502
20152016,20160531,30411,"pit","home",8477839,"lw",3,"regular",463,516
20152016,20160531,30411,"pit","home",8474602,"d",3,"regular",505,558
20152016,20160531,30411,"pit","home",8471215,"c",3,"regular",549,602
20152016,20160531,30411,"sjs","away",8470613,"d",3,"regular",611,664
20152016,20160531,30411,"sjs","away",8468542,"d",3,"regular",611,664
20152016,20160531,30411,"pit","home",8471215,"c",2,"regular",724,777
20152016,20160531,30411,"sjs","away",8470613,"d",2,"regular",791,844
20152016,20160531,30411,"sjs","away",8466138,"c",2,"regular",791,844
20152016,20160531,30411,"sjs","away",8468542,"d",2,"regular",791,844
20152016,20160531,30411,"sjs","away",8476881,"c",2,"regular",791,844
20152016,20160531,30411,"sjs","away",8474027,"d",1,"regular",929,982
20152016,20160531,30411,"sjs","away",8471709,"d",1,"regular",929,982
20152016,20160531,30411,"pit","home",8474602,"d",1,"regular",939,992
20152016,20160531,30411,"sjs","away",8474096,"c",3,"regular",664,718
20152016,20160531,30411,"sjs","away",8468542,"d",3,"regular",802,856
20152016,20160531,30411,"sjs","away",8468208,"rw",2,"regular",1005,1059
20152016,20160531,30411,"sjs","away",8475820,"rw",1,"regular",1040,1094
20152016,20160531,30411,"sjs","away",8474053,"c",1,"regular",1040,1094
20152016,20160531,30411,"sjs","away",8466139,"lw",1,"regular",1040,1094
20152016,20160531,30411,"sjs","away",8471392,"d",1,"regular",1040,1094
20152016,20160531,30411,"sjs","away",8475820,"rw",2,"regular",127,182
20152016,20160531,30411,"sjs","away",8471709,"d",2,"regular",127,182
20152016,20160531,30411,"sjs","away",8476881,"c",2,"regular",127,182
20152016,20160531,30411,"pit","home",8471887,"rw",2,"regular",333,388
20152016,20160531,30411,"sjs","away",8470794,"c",3,"regular",394,449
20152016,20160531,30411,"sjs","away",8476881,"c",3,"regular",394,449
20152016,20160531,30411,"sjs","away",8470613,"d",3,"regular",545,600
20152016,20160531,30411,"pit","home",8474602,"d",3,"regular",625,680
20152016,20160531,30411,"pit","home",8473933,"d",1,"regular",1040,1095
20152016,20160531,30411,"pit","home",8475810,"rw",1,"regular",1040,1095
20152016,20160531,30411,"pit","home",8470543,"lw",1,"regular",1040,1095
20152016,20160531,30411,"pit","home",8471215,"c",1,"regular",1040,1095
20152016,20160531,30411,"pit","home",8476874,"d",1,"regular",1040,1095
20152016,20160531,30411,"pit","home",8471215,"c",1,"regular",93,149
20152016,20160531,30411,"sjs","away",8464977,"c",3,"regular",315,371
20152016,20160531,30411,"sjs","away",8476919,"c",2,"regular",594,650
20152016,20160531,30411,"sjs","away",8468208,"rw",2,"regular",594,650
